"nom","dept","comm","arr","tncc","population","latitude","longitude"
"Hamel","59","280","3","1","789","50.280000000000001","3.07389"
"Hantay","59","281","5","1","1061","50.535829999999997","2.87222"
"Hardifort","59","282","4","1","388","50.82","2.48556"
"Hargnies","59","283","1","1","593","50.257219999999997","3.8477800000000002"
"Hasnon","59","284","6","1","3751","50.421109999999999","3.3866700000000001"
"Haspres","59","285","6","1","2830","50.258330000000001","3.4166699999999999"
"Haubourdin","59","286","5","1","14569","50.609169999999999","2.9869400000000002"
"Haucourt-en-Cambrésis","59","287","2","1","215","50.104439999999997","3.3416700000000001"
"Haulchin","59","288","6","1","2402","50.317779999999999","3.4366699999999999"
"Haussy","59","289","2","1","1636","50.217779999999998","3.48028"
"Haut-Lieu","59","290","1","0","393","50.101199999999999","3.9131"
"Hautmont","59","291","1","1","14358","50.248060000000002","3.9244400000000002"
"Haveluy","59","292","6","1","3116","50.351390000000002","3.4027799999999999"
"Haverskerque","59","293","4","1","1490","50.641390000000001","2.5408300000000001"
"Haynecourt","59","294","2","1","601","50.211669999999998","3.1613899999999999"
"Hazebrouck","59","295","4","1","22086","50.724440000000001","2.5383300000000002"
"Hecq","59","296","1","1","363","50.181669999999997","3.6513900000000001"
"Hélesmes","59","297","6","1","1967","50.369439999999997","3.35806"
"Hem","59","299","5","0","17538","50.655279999999998","3.1877800000000001"
"Hem-Lenglet","59","300","2","0","589","50.25806","3.2283300000000001"
"Hergnies","59","301","6","1","4305","50.474440000000001","3.5219399999999998"
"Hérin","59","302","6","1","3869","50.354439999999997","3.4525000000000001"
"Herlies","59","303","5","1","2186","50.578200000000002","2.8546999999999998"
"Herrin","59","304","5","1","417","50.546390000000002","2.9652799999999999"
"Herzeele","59","305","4","1","1561","50.886389999999999","2.5336099999999999"
"Hestrud","59","306","1","1","298","50.199440000000003","4.1513900000000001"
"Holque","59","307","4","0","946","50.854170000000003","2.2030599999999998"
"Hondeghem","59","308","4","1","953","50.75667","2.5208300000000001"
"Hondschoote","59","309","4","1","4225","50.979439999999997","2.58528"
"Hon-Hergies","59","310","1","0","843","50.326509999999999","3.8191199999999998"
"Honnechy","59","311","2","1","534","50.06861","3.47139"
"Honnecourt-sur-Escaut","59","312","2","1","756","50.0364","3.1966999999999999"
"Hordain","59","313","6","1","1481","50.262500000000003","3.3149999999999999"
"Hornaing","59","314","3","1","3464","50.367780000000003","3.33528"
"Houdain-lez-Bavay","59","315","1","1","883","50.314010000000003","3.78342"
"Houplin-Ancoisne","59","316","5","1","3481","50.563609999999997","3.0016699999999998"
"Houplines","59","317","5","1","7743","50.690829999999998","2.90917"
"Houtkerque","59","318","4","1","1008","50.877220000000001","2.5958299999999999"
"Hoymille","59","319","4","0","3361","50.971499999999999","2.4470000000000001"
"Illies","59","320","5","1","1444","50.561390000000003","2.8311099999999998"
"Inchy","59","321","2","1","737","50.122779999999999","3.46278"
"Iwuy","59","322","2","1","3240","50.233060000000002","3.3222200000000002"
"Jenlain","59","323","1","0","1077","50.312220000000003","3.6294400000000002"
"Jeumont","59","324","1","0","9935","50.294440000000002","4.1013900000000003"
